date,temperature,humidity,luminosity
2020-12-02 16:31:01.356,21.7,16.9,38
2020-12-02 16:30:59.078,21.7,16.9,37
2020-12-02 16:30:56.800,21.7,16.9,37
2020-12-02 16:30:54.523,21.7,17.0,37
2020-12-02 16:30:52.249,21.7,17.0,38
2020-12-02 16:30:49.972,21.7,17.0,38
2020-12-02 16:30:47.696,21.7,17.0,37
2020-12-02 16:30:45.418,21.7,17.0,37
2020-12-02 16:30:43.143,21.7,17.0,38
2020-12-02 16:30:40.866,21.7,17.0,38
2020-12-02 16:30:38.588,21.7,17.0,37
2020-12-02 16:30:36.310,21.7,17.0,37
2020-12-02 16:30:34.036,21.7,16.9,37
2020-12-02 16:30:31.759,21.6,16.8,37
2020-12-02 16:30:29.482,21.7,16.9,38
2020-12-02 16:30:27.204,21.7,16.9,36
2020-12-02 16:30:24.926,21.7,16.9,36
2020-12-02 16:30:22.653,21.7,16.9,36
2020-12-02 16:30:20.375,21.7,16.9,39
2020-12-02 16:30:18.097,21.7,16.8,39
2020-12-02 16:30:15.820,21.7,16.8,37
2020-12-02 16:30:13.542,21.7,16.8,38
2020-12-02 16:30:11.269,21.7,16.8,38
2020-12-02 16:30:09.008,21.7,16.8,39
2020-12-02 16:30:06.714,21.7,16.8,39
2020-12-02 16:30:04.436,21.7,16.8,38
2020-12-02 16:30:02.162,21.7,16.7,38
2020-12-02 16:29:59.885,21.7,16.7,38
2020-12-02 16:29:57.607,21.7,16.7,40
2020-12-02 16:29:55.333,21.7,16.7,40
2020-12-02 16:29:53.056,21.8,16.8,38
2020-12-02 16:29:50.778,21.7,16.7,39
2020-12-02 16:29:48.501,21.8,16.8,38
2020-12-02 16:29:46.223,21.8,16.8,40
2020-12-02 16:29:43.946,21.8,16.8,39
2020-12-02 16:29:41.672,21.8,16.8,38
2020-12-02 16:29:39.395,21.8,16.8,39
2020-12-02 16:29:37.117,21.8,16.7,39
2020-12-02 16:29:34.839,21.8,16.8,37
2020-12-02 16:29:32.566,21.9,16.8,39
2020-12-02 16:29:30.288,21.9,16.8,39
2020-12-02 16:29:28.011,21.9,16.8,39
2020-12-02 16:29:25.733,21.9,16.8,39
2020-12-02 16:29:23.456,21.9,16.8,40
2020-12-02 16:29:21.182,21.9,16.8,38
2020-12-02 16:29:18.904,21.9,16.9,38
2020-12-02 16:29:16.627,21.9,16.9,42
2020-12-02 16:29:14.351,21.9,16.9,43
2020-12-02 16:29:12.077,21.9,16.9,43
2020-12-02 16:29:09.798,21.9,16.9,42
2020-12-02 16:29:07.521,21.9,16.9,43
2020-12-02 16:29:05.243,21.9,16.9,42
2020-12-02 16:29:02.965,21.9,16.9,44
2020-12-02 16:29:00.692,21.9,16.9,43
2020-12-02 16:28:58.414,21.9,16.9,42
2020-12-02 16:28:56.137,21.9,16.9,43
2020-12-02 16:28:53.859,21.9,16.9,43
2020-12-02 16:28:51.582,21.9,16.9,43
2020-12-02 16:28:49.308,21.9,16.9,42
2020-12-02 16:28:47.031,21.9,16.9,43
2020-12-02 16:28:44.753,21.9,16.9,42
2020-12-02 16:28:42.475,21.9,16.9,43
2020-12-02 16:28:40.202,21.9,16.9,43
2020-12-02 16:28:37.924,21.9,16.9,42
2020-12-02 16:28:35.647,21.9,16.9,43
2020-12-02 16:28:33.369,21.9,16.9,42
2020-12-02 16:28:31.091,21.9,16.9,44
2020-12-02 16:28:28.818,21.9,16.9,43
2020-12-02 16:28:26.540,21.9,16.9,41
2020-12-02 16:28:24.263,21.9,16.9,43
2020-12-02 16:28:21.985,21.9,16.9,43
2020-12-02 16:28:19.708,21.9,16.9,41
2020-12-02 16:28:17.434,22.0,17.0,40
2020-12-02 16:28:15.157,21.9,16.9,40
2020-12-02 16:28:12.879,21.9,16.9,39
